Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
amazon_review_polarity,97.32333333,8952,18,407,5,2,0.71,0.72,0.84,0.26
ag_news,45.73333333,7294,11,212,4,4,0.64,0.62,0.54,0.23
yelp_review_polarity,187.0822222,9171,4,1584,1,2,0.78,0.73,0.74,0.35
yahoo_answers,60.06111111,6187,3,516,4,10,0.9,0.84,0.86,0.59
yelp_review_polarity,191.9655556,9228,5,1135,3,2,0.74,0.8,0.82,0.39
yelp_review_polarity,180.1133333,9050,5,1258,3,2,0.72,0.77,0.77,0.35
ag_news,44.39333333,7214,14,197,3,4,0.7,0.6,0.57,0.13
amazon_review_polarity,98.06333333,8929,20,254,3,2,0.68,0.64,0.76,0.26
dbpedia,68.02333333,9704,11,200,12,14,0.41,0.34,0.64,0.11
yelp_review_polarity,186.3933333,9238,6,1327,3,2,0.76,0.79,0.83,0.37
amazon_review_polarity,99.40222222,8947,13,259,6,2,0.75,0.8,0.86,0.32
dbpedia,66.98666667,9721,11,204,17,14,0.47,0.38,0.57,0.06
amazon_review_polarity,99.52555556,9010,19,294,4,2,0.57,0.55,0.71,0.36
amazon_review_polarity,98.68555556,8936,11,457,3,2,0.78,0.76,0.87,0.24
amazon_review_polarity,94.88666667,8820,18,255,5,2,0.83,0.78,0.86,0.23
amazon_review_polarity,99.94,9248,16,474,4,2,0.75,0.8,0.85,0.36
amazon_review_polarity,99.76555556,9084,15,429,6,2,0.79,0.81,0.86,0.27
amazon_review_full,103.3888889,9216,16,526,3,5,0.91,0.97,0.99,0.63
amazon_review_full,101.8655556,9038,17,367,5,5,0.91,0.99,0.98,0.76
yelp_review_polarity,189.9044444,9424,7,1533,3,2,0.77,0.75,0.77,0.2
ag_news,46.29333333,7425,16,207,12,4,0.53,0.48,0.5,0.13
dbpedia,67.61666667,9620,9,182,11,14,0.43,0.29,0.57,0.05
ag_news,47.19,7437,10,386,3,4,0.62,0.59,0.59,0.17
dbpedia,66.11333333,9540,11,182,12,14,0.42,0.29,0.51,0.11
amazon_review_polarity,98.70888889,8989,21,258,3,2,0.74,0.71,0.77,0.32
dbpedia,65.66666667,9525,10,192,10,14,0.43,0.32,0.56,0.04
dbpedia,65.69,9570,11,145,18,14,0.52,0.37,0.63,0.06
dbpedia,65.19,9552,11,214,11,14,0.46,0.28,0.58,0.09
ag_news,45.31555556,7323,13,209,7,4,0.65,0.61,0.63,0.21
amazon_review_full,101.2455556,9017,22,343,4,5,0.87,0.99,0.98,0.68
amazon_review_polarity,98.35555556,8885,19,500,5,2,0.8,0.83,0.92,0.34
yelp_review_polarity,196.5122222,9569,5,1508,3,2,0.71,0.67,0.78,0.22
dbpedia,64.35888889,9426,5,163,15,14,0.48,0.37,0.6,0.11
ag_news,46.40555556,7385,16,211,3,4,0.68,0.59,0.56,0.18
ag_news,44.94888889,7247,10,198,3,4,0.62,0.59,0.53,0.21
yelp_review_polarity,186.7844444,9242,6,1321,3,2,0.83,0.8,0.8,0.33
dbpedia,65.95555556,9543,11,138,16,14,0.49,0.38,0.68,0.09
amazon_review_polarity,99.85111111,9257,18,320,5,2,0.78,0.8,0.84,0.28
amazon_review_polarity,102.2633333,8951,20,442,4,2,0.69,0.67,0.83,0.37
yelp_review_polarity,189.0711111,9441,3,1285,3,2,0.67,0.64,0.55,0.26
