,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
67,dbpedia,65.90222222,9643,13,166,0.631233192,1.328272178,90.52685764,1.937314313,11,0.29818195,14,2.359485077,0.95,14,0.48,0.37,0.51,0.13
68,ag_news,45.93222222,7253,16,202,0.437664289,1.983446862,592.3894627,2.426134502,4,-0.928279122,4,2.144861928,0.97,4,0.68,0.68,0.6,0.27
70,yelp_review_polarity,178.0322222,8866,4,1281,0.445467155,1.511027663,1356.902841,0.0,0,0.0,2,1.0,0.52,2,0.77,0.82,0.78,0.39
71,ag_news,46.04222222,7330,15,209,0.413124776,2.050120767,612.3027356,2.423475687,2,0.814821714,4,2.116097823,0.82,4,0.78,0.72,0.67,0.24
72,yelp_review_polarity,182.54,9248,5,1138,0.448055502,1.51111359,1356.980004,2.153871323,2,0.0,2,1.0,0.87,2,0.83,0.84,0.8,0.36
73,yelp_review_polarity,191.6511111,9276,5,1194,0.448377429,1.489725957,1337.77391,1.932714785,3,0.0,2,0.0,1.0,2,0.67,0.58,0.64,0.27
74,yelp_review_polarity,185.0444444,9133,4,1348,0.452950981,1.487939359,1336.169544,2.16876591,2,0.0,2,1.0,0.99,2,0.76,0.71,0.87,0.29
75,ag_news,46.06666667,7286,11,208,0.431798524,1.992262105,595.022282,2.162781868,7,1.153817942,4,2.179052014,0.74,4,0.64,0.62,0.58,0.25
76,dbpedia,67.73,9686,10,191,0.612862377,1.362424633,92.85447883,1.769135551,14,0.661261515,14,1.616775033,0.92,14,0.46,0.42,0.57,0.04
77,dbpedia,65.70555556,9576,10,164,0.623460464,1.343172369,91.54236297,1.704815435,15,-0.500096145,14,2.490116568,0.93,14,0.47,0.36,0.67,0.05
78,dbpedia,67.18333333,9693,11,296,0.613564393,1.354363606,92.30508886,1.722349247,16,-0.081885884,14,2.758644358,0.95,14,0.49,0.36,0.52,0.09
79,yelp_review_polarity,186.1722222,9091,3,1278,0.458429514,1.476097797,1325.535822,1.765240724,2,0.0,2,1.0,0.89,2,0.73,0.69,0.83,0.2
80,yahoo_answers,57.00555556,6085,3,934,0.329131301,2.585898502,255.7166296,2.60524151,4,-0.097849211,10,2.182790403,0.88,10,0.87,0.89,0.83,0.5
81,amazon_review_polarity,98.88555556,9006,17,248,0.353317136,2.084512334,1871.892076,2.522216281,2,0.0,2,1.0,1.0,2,0.76,0.76,0.85,0.27
82,yelp_review_polarity,180.7988889,9023,4,1322,0.453939432,1.503350836,1350.00905,1.921081804,3,0.0,2,1.0,0.58,2,0.76,0.77,0.8,0.18
83,ag_news,45.65777778,7288,14,195,0.429541381,1.997785218,596.6718518,2.139171826,6,-1.278487054,4,2.26061252,0.76,4,0.63,0.61,0.63,0.22
84,ag_news,46.16111111,7329,15,215,0.434946903,1.98523491,592.923493,2.62312975,2,0.0,4,2.0,0.69,4,0.65,0.72,0.71,0.21
85,amazon_review_full,101.9166667,9134,18,352,0.255488183,2.01826168,451.5860509,2.553665012,4,0.529503382,5,1.627143564,0.81,5,0.92,0.96,1,0.63
86,yahoo_answers,61.77111111,6376,3,1002,0.339579806,2.507648852,247.9786087,2.21984991,6,-0.354649683,10,2.421349485,0.92,10,0.89,0.87,0.82,0.5
87,amazon_review_full,101.5988889,8922,19,402,0.257696913,2.052851169,459.3254491,2.457313978,4,-1.178966238,5,2.360467196,0.78,5,0.86,0.91,0.94,0.59
88,amazon_review_polarity,98.12333333,8806,18,517,0.348254183,2.091482496,1878.151281,2.000614797,3,0.0,2,1.0,0.67,2,0.8,0.78,0.9,0.34
89,yelp_review_polarity,177.9888889,8995,5,1211,0.445715435,1.533628971,1377.198816,1.859924963,4,0.0,2,1.0,0.56,2,0.64,0.58,0.68,0.36
90,yelp_review_polarity,178.7422222,9027,8,1541,0.446372016,1.520490749,1365.400693,1.84504007,2,0.0,2,1.0,0.87,2,0.84,0.85,0.85,0.34
91,yelp_review_full,186.1366667,9047,3,1376,0.323601378,1.493842242,334.2472017,1.927890697,2,1.174170546,5,1.825529844,0.86,5,0.91,0.9,0.92,0.55
92,dbpedia,65.56888889,9566,8,176,0.619646618,1.346300423,91.75555193,1.844993311,14,0.327133779,14,1.712495921,0.88,14,0.44,0.31,0.58,0.09
93,amazon_review_polarity,97.49222222,8870,14,410,0.359982772,2.052936256,1843.536758,2.349878068,5,0.0,2,1.0,0.54,2,0.66,0.66,0.81,0.35
94,dbpedia,69.88111111,9784,5,3056,0.610511305,1.368468905,93.2664192,1.849661207,11,-1.137953524,14,2.42329225,0.95,14,0.51,0.44,0.65,0.09
95,dbpedia,65.71666667,9467,5,174,0.612367175,1.362736663,92.87574487,1.80692854,13,0.631158186,14,2.214376064,0.95,14,0.54,0.45,0.69,0.11
96,yelp_review_polarity,185.0688889,9217,6,1061,0.44852437,1.513608679,1359.220594,1.989660939,2,0.0,2,1.0,0.46,2,0.77,0.73,0.78,0.28
97,amazon_review_full,102.26,9242,19,293,0.265713575,2.046812119,457.9742115,2.533280747,3,1.677050983,5,1.953125,0.88,5,0.77,0.85,0.89,0.44
98,amazon_review_full,99.75,8815,16,464,0.255045781,2.037433696,455.8757895,2.370625707,2,-1.327901685,5,1.261804621,0.84,5,0.92,0.94,0.95,0.59
99,dbpedia,66.16222222,9505,12,423,0.620936288,1.353826034,92.26845127,2.040727597,11,0.112489015,14,2.025904911,0.94,14,0.47,0.33,0.49,0.09
100,dbpedia,65.71777778,9578,11,190,0.623529156,1.368565911,93.27303054,1.887720761,12,0.43857529,14,1.966151586,0.9,14,0.46,0.37,0.57,0.1
101,ag_news,45.03555556,7373,16,280,0.426482456,2.025339831,604.9014962,2.391677363,2,0.708200528,4,1.924853109,0.73,4,0.52,0.49,0.54,0.18
102,amazon_review_polarity,98.44666667,8839,17,384,0.357185296,2.041244705,1833.037745,2.194534105,6,0.0,2,1.0,0.96,2,0.72,0.68,0.78,0.28
103,ag_news,46.44444444,7552,15,212,0.420316014,2.044455531,610.6107186,2.598663217,4,-0.597614305,4,1.742645503,0.8,4,0.66,0.69,0.69,0.17
104,dbpedia,66.14777778,9402,11,333,0.617332145,1.353837885,92.26925891,1.840432263,13,0.128920513,14,1.821504848,0.96,14,0.47,0.3,0.55,0.08
105,amazon_review_polarity,100.0455556,9013,18,421,0.351944883,2.094789462,1881.120937,2.688543951,3,0.0,2,0.0,0.61,2,0.86,0.91,0.88,0.41
106,dbpedia,67.51666667,9775,10,156,0.613770153,1.372791011,93.5609874,1.894550853,13,-0.251435888,14,2.926654925,0.94,14,0.38,0.3,0.49,0.08
107,yelp_review_polarity,183.7011111,9054,4,1328,0.454988838,1.484661797,1333.226294,2.123088598,2,0.0,2,1.0,0.86,2,0.83,0.9,0.84,0.34
108,yelp_review_polarity,178.8955556,9093,4,1402,0.452721036,1.499406777,1346.467286,1.888100792,2,0.0,2,1.0,0.83,2,0.8,0.73,0.72,0.24
